;p00;p01
5283;19774;Электролизник расплавленных солей
5284;27817;Электромеханик
5285;27829;Электромеханик на дноочистительном снаряде
5286;27831;Электромеханик на землесосе, земснаряде
5287;27834;Электромеханик-наставник
5288;27837;Электромеханик перегрузочных машин
5289;19778;Электромеханик по лифтам
5290;27843;Электромеханик по подъемным установкам
5291;19782;Электромеханик по ремонту и обслуживанию медицинских оптических приборов
5292;19786;Электромеханик по ремонту и обслуживанию медицинского рентгеновского оборудования
5293;19792;Электромеханик по средствам автоматики и приборам технологического оборудования
5294;27840;Электромеханик подводного аппарата
5295;27850;Электромеханик связи
5296;27856;Электромеханик участка
5297;19796;Электромонтажник блоков электронно-механических часов
5298;19798;Электромонтажник-наладчик
5299;19802;Электромонтажник по вторичным цепям
5300;19804;Электромонтажник по кабельным сетям
5301;19806;Электромонтажник по освещению и осветительным сетям
5302;19808;Электромонтажник по распределительным устройствами
5303;47109;Техник службы подвижного состава
5304;19812;Электромонтажник по силовым сетям и электрооборудованию
5305;19814;Электромонтажник по электрическим машинам
5306;19816;Электромонтажник судовой
5307;19817;Электромонтажник-схемщик
5308;19819;Электромонтер главного щита управления электростанции
5309;19821;Электромонтер диспетчерского оборудования и телеавтоматики
5310;19823;Электромонтер канализационных сооружений связи
5311;19825;Электромонтер контактной сети
5312;19831;Электромонтер оперативно-выездной бригады
5313;19832;Электромонтер охранно-пожарной сигнализации
5314;19834;Электромонтер по испытаниям и измерениям
5315;19836;Электромонтер по надзору за трассами кабельных сетей
5316;19838;Электромонтер по обслуживанию буровых
5317;19840;Электромонтер по обслуживанию гидроагрегатов машинного зала
5318;19890;Электромонтер по обслуживанию и ремонту устройств сигнализации, централизации и блокировки
5319;19842;Электромонтер по обслуживанию подстанции
5320;19844;Электромонтер по обслуживанию преобразовательных устройств
5321;19848;Электромонтер по обслуживанию электрооборудования электростанций
5322;19850;Электромонтер по обслуживанию электроустановок
5323;19852;Электромонтер по оперативным переключениям в распределительных сетях
5324;47122;Техник-электрик-наладчик электронного оборудования
5325;19855;Электромонтер по ремонту воздушных линий электропередачи
5326;19857;Электромонтер по ремонту вторичной коммутации и связи
5327;19859;Электромонтер по ремонту и монтажу кабельных линий
5328;19876;Электромонтер по ремонту и обслуживанию аппаратуры и устройств связи
5329;19861;Электромонтер по ремонту и обслуживанию электрооборудования
5330;19863;Электромонтер по ремонту обмоток и изоляции электрооборудования
5331;19870;Электромонтер по эскизированию трасс линий электропередачи
5332;19872;Электромонтер приемопередающей станции спутниковой связи
5333;19880;Электромонтер станционного оборудования радиофикации
5334;19881;Электромонтер станционного оборудования телеграфной связи
5335;19883;Электромонтер станционного оборудования телефонной связи
5336;19885;Электромонтер станционного радиооборудования
5337;19887;Электромонтер станционного телевизионного оборудования
5338;19888;Электромонтер тяговой подстанции
5339;19894;Электрополировщик
5340;19899;Электрорадиомонтажник судовой
5341;19901;Электрорадионавигатор
5342;19903;Электросварщик листов и лент
5343;19905;Электросварщик на автоматических и полуавтоматических машинах
5344;19906;Электросварщик ручной сварки
5345;19908;Электросварщик труб на стане
5346;19910;Электрослесарь-контактчик
5347;21072;Государственный инспектор труда
5348;19912;Электрослесарь-монтажник подземного горнопроходческого оборудования
5349;19914;Электрослесарь на проходке
5350;19915;Электрослесарь подземный
5351;19923;Электрослесарь по ремонту оборудования распределительных устройств
5352;30197;Электрослесарь по ремонту приборов управления вооружением
5353;19927;Электрослесарь по ремонту электрических машин
5354;19929;Электрослесарь по ремонту электрооборудования электростанций
5355;19933;Электрослесарь строительный
5356;19935;Электросушильщик кабелей
5357;19937;Электрофотограф
5358;19939;Электрохимобработчик
5359;19940;Электроэрозионист
5360;19944;Эмалировщик проволоки
5361;19950;Эмульсировщик
5362;19952;Эмульсировщик прецизионной фотолитографии
5363;20032;Агент рекламный
5364;20053;Агроном по семеноводству
5365;20073;Администратор суда
5366;10049;Алундировщик
5367;10053;Алюминировщик электротехнических изделий
5368;10058;Анодчик в производстве алюминия
5369;10065;Аппаратчик
5370;10090;Аппаратчик балансовых установок
5371;10097;Аппаратчик бучения
5372;10107;Аппаратчик вакуум-термической печи
5373;10101;Аппаратчик вакуумирования
5374;10116;Аппаратчик витаминизации жира
5375;10124;Аппаратчик восстановления
5376;10142;Аппаратчик вулканизации
5377;10144;Аппаратчик выделения ацетофенона
5378;10157;Аппаратчик выпарных аппаратов для получения жидкого продукта
5379;10164;Аппаратчик вытопки
5380;10168;Аппаратчик выщелачивания
5381;10172;Аппаратчик газогенерации
5382;10176;Аппаратчик гашения извести
5383;10199;Аппаратчик деаэрации
5384;10201;Аппаратчик дегидратации
5385;10206;Аппаратчик декарбоксилирования
5386;10212;Аппаратчик деструкции
5387;10221;Аппаратчик диспергирования пигментов и красителей
5388;10222;Аппаратчик диспергирования щелочных металлов
5389;10230;Аппаратчик-дозировщик на изготовлении и поливе фотоэмульсий
5390;10234;Аппаратчик дубления и сушки белковой оболочки
5391;10273;Аппаратчик изготовления резиновых нитей
5392;10283;Аппаратчик имидирования
5393;10289;Аппаратчик ионного обмена
5394;10295;Аппаратчик испарения
5395;10296;Аппаратчик испарительной установки
5396;10287;Аппаратчик йодирования
5397;10306;Аппаратчик каустификации
5398;10310;Аппаратчик коагуляции
5399;10316;Аппаратчик-комплекторщик
5400;10318;Аппаратчик конверсии
5401;10340;Аппаратчик крупяного производства
5402;10342;Аппаратчик ксантогенирования
5403;10346;Аппаратчик лесохимической установки
5404;10350;Аппаратчик матирования смолы
5405;10367;Аппаратчик на изготовлении микропроводов в стекольной изоляции
5406;10375;Аппаратчик на пропиточных агрегатах
5407;10383;Аппаратчик на установках деионизации
5408;10369;Аппаратчик нанесения полимерных и парафиновых покрытий на сыры
5409;10404;Аппаратчик обезжиривания сиропов
5410;10407;Аппаратчик обеззоливания, мягчения
5411;10422;Аппаратчик обработки зерна
5412;10445;Аппаратчик омыления
5413;10475;Аппаратчик-отливщик магнитных лент
5414;10484;Аппаратчик очистки алмазного концентрата
5415;10490;Аппаратчик очистки сточных вод
5416;10496;Аппаратчик пастеризации
5417;10517;Аппаратчик плавления
5418;10519;Аппаратчик плюсования
5419;10521;Аппаратчик по выработке уксуса
5420;10633;Аппаратчик по окислению кадмия
5421;10643;Аппаратчик по производству ванадия
5422;10649;Аппаратчик по производству сухой спичечной соломки
5423;10661;Аппаратчик по химической обработке полупроводниковых материалов
5424;10548;Аппаратчик получения высокочистых соединений щелочных металлов
5425;10554;Аппаратчик получения декстрина
5426;10556;Аппаратчик получения закиси азота
5427;10569;Аппаратчик получения кумароновой смолы
5428;10575;Аппаратчик получения микронизированных материалов
5429;10591;Аппаратчик получения сильнодействующих алкалоидов и кристаллических гликозидов
5430;10675;Аппаратчик приготовления зубоврачебных материалов
5431;10681;Аппаратчик приготовления катализатора
5432;10706;Аппаратчик приготовления питательных сред
5433;10708;Аппаратчик приготовления полимеризационной смеси
5434;10712;Аппаратчик приготовления проявляющей пасты
5435;10714;Аппаратчик приготовления прядильных растворов
5436;10729;Аппаратчик приготовления химических растворов
5437;10733;Аппаратчик приготовления эмульгатора
5438;10739;Аппаратчик производства адипиновой кислоты
5439;10751;Аппаратчик производства бакелитовой пленки
5440;10765;Аппаратчик производства горного воска
5441;10767;Аппаратчик производства двуокиси хлора
5442;10769;Аппаратчик производства диметилтерефталата
5443;10777;Аппаратчик производства жидкого заменителя цельного молока
5444;10788;Аппаратчик производства контактной массы
5445;10812;Аппаратчик производства металлического натрия
5446;10814;Аппаратчик производства молочного сахара
5447;10821;Аппаратчик производства нейтрального кремнегеля
5448;10824;Аппаратчик производства нитрофоски
5449;10828;Аппаратчик производства пиридиновых оснований
5450;10857;Аппаратчик производства сухих молочных продуктов
5451;10865;Аппаратчик производства тормозной жидкости и антифризов
5452;10872;Аппаратчик производства фосфора
5453;10889;Аппаратчик производства шампанского
5454;10891;Аппаратчик прокаливания
5455;10898;Аппаратчик пропитки
5456;10918;Аппаратчик рафинирования крахмала
5457;10921;Аппаратчик регенерации
5458;10974;Аппаратчик стандартизации в производстве пластических масс
5459;10986;Аппаратчик сульфитации овощей и фруктов
5460;10992;Аппаратчик-сушильщик
5461;11009;Аппаратчик теплоутилизации
5462;11011;Аппаратчик термической активации углей
5463;11025;Аппаратчик термообработки пластмассовых изделий
5464;11036;Аппаратчик углеобогащения
5465;11047;Аппаратчик установки опытного производства
5466;11083;Аппаратчик химической очистки препаратов биосинтеза
5467;11114;Аппаратчик этаноламиновой установки
5468;11123;Арматурщик железобетонных судов
5469;11131;Армировщик санитарно-строительных изделий
5470;20122;Артист драмы
5471;20138;Артист кино
5472;20144;Артист мимического ансамбля
5473;20163;Артист спортивно-акробатического жанра
5474;20166;Артист танцевального и хорового коллектива
5475;20184;Археограф
5476;20193;Архивист
5477;11136;Аспираторщик
5478;20209;Ассистент звукорежиссера
5479;20224;Ассистент режиссера-постановщика
5480;20233;Ассистент художника по комбинированным съемкам
5481;11141;Асфальтобетонщик-варильщик
5482;11149;Аэродромный рабочий
5483;20301;Багермейстер
5484;11161;Балансировщик деталей и узлов
5485;11165;Балансировщик инструментов из алмазов и сверхтвердых материалов
5486;11168;Бандажировщик
5487;11182;Бахромщик
5488;11184;Бегунщик
5489;11186;Бегунщик смесительных бегунов
5490;11196;Бетонщик
5491;20327;Биохимик
5492;20328;Биржевой маклер
5493;11210;Бондарь-укупорщик
5494;11214;Бортоператор грузовых самолетов
5495;11239;Бригадир обдирочно-зачистного отделения
5496;11244;Бригадир осмотра и механообработки колес
5497;11248;Бригадир отделения центробежных машин
5498;11255;Бригадир разливочных машин
5499;11263;Бригадир трубоволочильного отделения
5500;11272;Брикетировщик
5501;11287;Брынзодел-мастер
5502;20334;Букмекер
5503;11289;Бункеровщик
5504;11300;Бутафор
5505;11301;Буфетчик
5506;20339;Бухгалтер-ревизор
5507;11316;Вакуумщик триплекса и блоков
5508;11322;Вальцовщик игл
5509;11326;Вальцовщик калибровочного стана
5510;11328;Вальцовщик керамической пленки
5511;11329;Вальцовщик кожевенных материалов
5512;11339;Вальцовщик проволоки для спиралей
5513;11345;Вальцовщик стана горячей прокатки
5514;11354;Вальцовщик трубоформовочного стана
5515;11363;Варильщик химических составов для варки отходов
5516;11375;Варщик гипса
5517;11392;Варщик сиропов, соков, экстрактов
5518;11394;Варщик смолки
5519;11398;Варщик тряпья
5520;11400;Варщик химической древесной массы
5521;11402;Варщик хлопка
5522;20393;Ведущий инженер по объективному контролю
5523;11418;Вентилевой гидравлического пресса
5524;11423;Весовщик-счетчик
5525;20427;Ветеринарный фельдшер
5526;11435;Вивщик колец
5527;11436;Видеотекарь
5528;22321;Звукооператор
5529;11439;Виноградарь
5530;11444;Водитель аэросаней
5531;11462;Водитель троллейбуса
5532;11463;Водитель электро-и автотележки
5533;11465;Водолаз
5534;11471;Водораздатчик
5535;20434;Вожатый
5536;11478;Возчик леса
5537;11489;Волочильщик труб
5538;11487;Волочильщик цветных металлов
5539;20332;Врач-гематолог
5540;20338;Врач-дерматовенеролог
5541;20356;Врач-инфекционист
5542;20451;Врач-лаборант
5543;20371;Врач-невропатолог
5544;20374;Врач-нейрохирург
5545;20386;Врач-паразитолог
5546;20392;Врач-педиатр
5547;20458;Врач-педиатр участковый
5548;20462;Врач-протезист по глазному протезированию
5549;20465;Врач-психиатр участковый
5550;20432;Врач санитарный по гигиене питания
5551;20463;Врач-специалист
5552;20481;Врач-терапевт
5553;20476;Врач-терапевт участковый цехового врачебного участка
5554;20505;Врач-физиотерапевт
5555;20483;Врач-фтизиатр участковый
5556;20517;Врач-хирург
5557;11500;Вулканизаторщик печатных форм
5558;11511;Выбивщик титановой губки
5559;11513;Выборщик
5560;11515;Выборщик камней
5561;11517;Выборщик металлического натрия
5562;11528;Выгребальщик очеса
5563;47337;Физик критического стенда
5564;11555;Выжигальщик рисунков
5565;11559;Выливщик-заливщик металла
5566;11561;Выпарщик капо-корня
5567;20485;Выпускающий
5568;11566;Выравнивальщик кожаных деталей
5569;11568;Выравнивальщик толщины деталей и полуфабрикатов
5570;11574;Вырубщик заготовок и изделий
5571;11620;Газосварщик
5572;11622;Газоспасатель
5573;11631;Гальванотипист
5574;11633;Гардеробщик
5575;11635;Гарнировщик музыкальных инструментов
5576;11636;Гарнитурщик химического прядения
5577;11642;Гелиотропист
5578;20541;Генеральный директор генеральной дирекции
5579;20553;Генеральный директор межотраслевого научно-технического комплекса
5580;20557;Генеральный директор объединения
5581;20586;Геодезист
5582;20605;Герпетолог
5583;11655;Гибщик фибры
5584;11659;Гидрогенизаторщик
5585;11664;Гидропескоструйщик
5586;11666;Гидротермист
5587;20616;Гидротехник
5588;20626;Главная медицинская сестра
5589;20633;Главный администратор
5590;20638;Главный архитектор
5591;20671;Главный выпускающий
5592;20677;Главный геолог
5593;20681;Главный геохимик
5594;20686;Главный гидрогеолог
5595;20698;Главный гидротехник
5596;20718;Главный государственный инспектор по судоходству на пограничных реках
5597;20716;Главный государственный инспектор РФ по охране труда
5598;20751;Главный звукорежиссер
5599;20760;Главный инженер проекта
5600;20785;Главный консультант в аппарате высшего арбитражного суда РФ
5601;20787;Главный консультант в аппарате конституционного суда РФ
5602;20795;Главный крупчатник
5603;20808;Главный металлург
5604;20824;Главный модельер-конструктор
5605;20840;Главный научный сотрудник
5606;20845;Главный радиолог
5607;20848;Главный ревизор по безопасности движения
5608;20860;Главный редактор программ
5609;20875;Главный режиссер
5610;20888;Главный советник
5611;20898;Главный специалист в аппарате верховного суда РФ
5612;20901;Главный специалист в аппарате генеральной прокуратуры РФ
5613;20946;Главный специалист по сантехническому оборудованию
5614;21014;Главный тренер
5615;21026;Главный художник-модельер
5616;21100;Главный эксперт
5617;21045;Главный энергодиспетчер
5618;11684;Глазуровщик фарфоровых и фаянсовых изделий
5619;11690;Гнутарь по дереву
5620;11695;Горничная
5621;11702;Горновой ферросплавных печей
5622;11706;Горномонтажник подземный
5623;11711;Горнорабочий на маркшейдерских работах
5624;21050;Государственный герольдмейстер
5625;11743;Гравер стекла
5626;11750;Градуировщик радиоаппаратуры
5627;11768;Грузчик
5628;21201;Девиатор
5629;11792;Дегоржер
5630;21236;Дежурный по обеспечению питания пассажиров
5631;11796;Дежурный по переезду
5632;21248;Дежурный по приему и выдаче оружия
5633;21252;Дежурный по разъезду
5634;21270;Дежурный предприятия связи
5635;21271;Дежурный пульта управления
5636;21274;Дежурный пункта оборота локомотивов
5637;21277;Дежурный пункта подмены локомотивных бригад
5638;21286;Дежурный станционного поста телеуправления
5639;11807;Дезодораторщик сои
5640;11817;Демонстратор причесок
5641;11818;Денатураторщик спирта
5642;21306;Диктор (комментатор)
5643;21314;Дипломатический курьер
5644;21320;Директор автотранспортного предприятия
5645;21333;Директор больницы (дома) сестринского ухода, хосписа
5646;21363;Директор департамента
5647;21375;Директор (заведующий) зала
5648;21434;Директор (заведующий) музея
5649;21501;Директор (заведующий) предприятия розничной торговли
5650;21508;Директор (заведующий) приюта для молодежи
5651;21592;Директор (заведующий) филиала
5652;21598;Директор (заведующий) хозяйства
5653;21395;Директор кабинета
5654;21419;Директор (начальник) котельной
5655;21422;Директор (начальник) курсов
5656;21447;Директор (начальник) организации
5657;12755;Кислотчик
5658;21365;Директор (начальник, уполномоченный) дирекции
5659;21467;Директор парламентской библиотеки
5660;21474;Директор планетария
5661;21477;Директор по кадрам и быту
5662;21546;Директор строящегося предприятия
5663;21556;Директор театра
5664;21601;Директор холодильника
5665;21623;Дирижер
5666;21683;Диспетчер маневровый железнодорожной станции
5667;21701;Диспетчер поездной
5668;21728;Диспетчер порта
5669;21753;Диспетчер редакционный
5670;21785;Диспетчер электроподстанции
5671;21790;Доверенный врач
5672;11851;Доводчик деталей
5673;11867;Дозировщик керамических материалов
5674;11872;Дозировщик минерализатора
5675;11883;Долбежник
5676;11908;Дробильщик
5677;11909;Дробильщик
5678;11925;Дробильщик шлифзерна, шлифпорошков и шихтовых материалов
5679;11927;Дробильщик электроугольного производства
5680;11929;Дровокол
5681;11932;Дублировщик
5682;11947;Живописец
5683;11955;Жировальщик кож
5684;11961;Забойщик
5685;11965;Заборщик фарфоровых, фаянсовых и керамических изделий
5686;11971;Завальщик шихты в вагранки и печи
5687;11976;Заварщик на высокочастотном индукторе
5688;11980;Заварщик пасты
5689;11982;Заварщик полупроводниковых приборов
5690;11984;Заварщик труб и баллонов
5691;21899;Заведующий аптечным учреждением
5692;21907;Заведующий аспирантурой (интернатурой, ординатурой)
5693;21917;Заведующий базой
5694;21925;Заведующий бюро пропусков
5695;21934;Заведующий ветеринарной станцией
5696;21941;Заведующий видеотекой
5697;21949;Заведующий горными работами
5698;21977;Заведующий канцелярией президента РФ
5699;21983;Заведующий кладбищем
5700;21990;Заведующий колумбарием
5701;21996;Заведующий конным двором
5702;22005;Заведующий корректорской
5703;22007;Заведующий костюмерной
5704;22013;Заведующий кухней для животных
5705;22026;Заведующий научно-технической библиотекой
5706;22097;Заведующий (начальник) приемной
5707;22123;Заведующий (начальник) секретариатом
5708;22028;Заведующий обстановкой
5709;22058;Заведующий очистными сооружениями
5710;22067;Заведующий передвижной выставкой
5711;22080;Заведующий площадкой
5712;22094;Заведующий прачечной
5713;22048;Заведующий радиоузлом
5714;22111;Заведующий рынком
5715;22116;Заведующий санпропускником
5716;22127;Заведующий секретариатом судебной коллегии
5717;22150;Заведующий столовой
5718;22161;Заведующий фильмобазой (фильмохранилищем)
5719;22168;Заведующий фондом
5720;22170;Заведующий фонотекой
5721;22192;Заведующий экспедицией
5722;22194;Заведующий этажом гостиницы
5723;11989;Завивальщик спиралей
5724;11997;Заготовитель продуктов и сырья
5725;11999;Заготовитель смеси для цементации
5726;12002;Заготовщик
5727;12003;Заготовщик абразивной массы
5728;12008;Заготовщик бакелитовой, вулканитовой и эпоксидной массы
5729;12012;Заготовщик битума
5730;12019;Заготовщик деталей и материалов к ювелирным и художественным изделиям
5731;12025;Заготовщик каркаса спортивных велошин
5732;12066;Заготовщик химических полуфабрикатов тугоплавких металлов
5733;12078;Заготовщик янтаря
5734;12108;Загрузчик-выгрузчик ферментационных камер
5735;12110;Загрузчик древесных и костровых плит
5736;12119;Загрузчик печей
5737;12123;Загрузчик-разгрузчик сушильных печей
5738;12125;Загрузчик сульфата
5739;12134;Загрузчик туннельных печей
5740;12163;Заливщик анодов
5741;12172;Заливщик компаундами
5742;22276;Заместитель руководителя аппарата правительства РФ
5743;12198;Запайщик колб и сосудов
5744;12223;Запрессовщик фитилей
5745;12225;Зарядчик автоклавов
5746;12229;Зарядчик огнетушителей
5747;12231;Зарядчик противогазовых коробок
5748;12237;Засольщик овощей
5749;12238;Засольщик шкур
5750;12257;Зачистчик электроизоляционных материалов
5751;12262;Зверовод зоологических баз
5752;22332;Зоолог
5753;22345;Зубной техник
5754;12282;Известегасильщик
5755;12288;Изготовитель асбометаллических изделий
5756;12290;Изготовитель берд
5757;12297;Изготовитель веревочных изделий
5758;12315;Изготовитель зубочисток
5759;12325;Изготовитель изделий методом намотки
5760;12334;Изготовитель каркасов
5761;12340;Изготовитель колец
5762;12349;Изготовитель лент и металлосеток
5763;12355;Изготовитель маканых изделий
5764;12356;Изготовитель макетов матриц
5765;12361;Изготовитель мишурной нити
5766;12380;Изготовитель орудий лова
5767;12387;Изготовитель парафиновых колец
5768;12389;Изготовитель перопуховых изделий
5769;12408;Изготовитель пульпоэкстракторов
5770;12420;Изготовитель сепараторов
5771;12437;Изготовитель стекловаренных керамических емкостей
5772;12443;Изготовитель стеклянной пленки
5773;12452;Изготовитель таблеток
5774;12463;Изготовитель труб из фторопласта
5775;12465;Изготовитель филигранных основ
5776;12467;Изготовитель фильер
5777;12472;Изготовитель форм
5778;12480;Изготовитель художественных изделий из керамики
5779;12482;Изготовитель художественных изделий из кожи
5780;12487;Изготовитель художественных изделий из пластмасс
5781;12503;Измеритель белковой оболочки
5782;12515;Измеритель электрических параметров микромодулей
5783;12521;Изолировщик
5784;12539;Изолировщик судовой
5785;12542;Изолировщик элементного производства
5786;22468;Инженер-инспектор бортовой
5787;22473;Инженер-инспектор по безопасности полетов
5788;22500;Инженер-лесопатолог
5789;22544;Инженер по внедрению новой техники и технологии
5790;22546;Инженер по вышкостроению
5791;22575;Инженер по инструменту
5792;22578;Инженер по испытанию и обработке пленки
5793;22590;Инженер по креплению
5794;22627;Инженер по опробованию и испытанию скважин
5795;22629;Инженер по организации движения спецавтотранспорта
5796;22635;Инженер по организации обеспечения авиационной техникой
5797;22638;Инженер по организации перевозок
5798;22640;Инженер по организации труда
5799;22647;Инженер по организации эксплуатации и ремонту зданий и сооружений
5800;22690;Инженер по приему электроподвижного состава
5801;22705;Инженер по радиолокации
5802;22742;Инженер по судоподъемным работам
5803;22748;Инженер по теплофикации сельскохозяйственного предприятия
5804;22766;Инженер по техническому обслуживанию авиационной техники
5805;22773;Инженер по управлению блоком атомной станции
5806;22782;Инженер по управлению турбиной атомной станции
5807;22788;Инженер по эксплуатации аэродромов
5808;22818;Инженер по электрохимической защите
5809;22819;Инженер по энергонадзору
5810;22562;Инженер пожарной охраны
5811;22839;Инженер-радиохимик
5812;22851;Инженер-таксатор
5813;22854;Инженер-технолог
5814;22864;Инженер-электроник
5815;12548;Инокуляторщик
5816;22901;Инспектор военизированной охраны
5817;22904;Инспектор-врач
5818;22919;Инспектор дорожный
5819;22922;Инспектор-капитан
5820;22925;Инспектор кредитный
5821;22939;Инспектор обменного пункта
5822;22947;Инспектор по военно-технической подготовке
5823;22956;Инспектор по кадрам
5824;22971;Инспектор по контролю за ценами
5825;22974;Инспектор по котлонадзору
5826;22993;Инспектор по расследованию аварий судов
5827;23011;Инспектор по эксплуатационным, производственно-техническим и организационным вопросам
5828;23029;Инспектор средних профессиональных и профессионально-технических учебных заведений
5829;23052;Инструктор авиапожарной команды
5830;23080;Инструктор-космонавт-испытатель
5831;23103;Инструктор-методист по адаптивной физической культуре
5832;23119;Инструктор-методист спортивной школы
5833;23122;Инструктор-методист физкультурно-спортивных организаций
5834;23131;Инструктор парашютной вышки
5835;23134;Инструктор парашютной и десантно-пожарной службы
5836;23153;Инструктор по лечебной физкультуре
5837;23159;Инструктор по организационно-массовой работе
5838;23165;Инструктор по противопожарной профилактике
5839;23183;Инструктор производственного обучения рабочих массовых профессий
5840;23186;Инструктор служебного собаководства
5841;12565;Исполнитель художественно-оформительских работ
5842;12567;Испытатель абразивов
5843;12580;Испытатель двигателей
5844;12607;Испытатель стеклоизделий
5845;12610;Испытатель-формировщик
5846;23307;Казначей
5847;12630;Каландровщик
5848;12636;Каландровщик целлюлозно-бумажного производства
5849;12638;Калибровщик гипсовых форм
5850;12640;Калибровщик изделий лечебного назначения
5851;12646;Калибровщик коконов
5852;12648;Калибровщик магнитопроводов
5853;12656;Калибровщик-прецизионист в производстве масок цветных кинескопов
5854;12658;Калибровщик-раскройщик
5855;12661;Калибровщик слюды
5856;12671;Калибровщик электроугольных изделий
5857;23311;Калькулятор
5858;12686;Камневар
5859;12709;Карбонизаторщик
5860;12714;Каротажник
5861;23363;Картограф
5862;12716;Картонажник
5863;23369;Кассир
5864;12734;Кварцеплавильщик
5865;12740;Кессонщик-слесарь
5866;12743;Кеттельщик
5867;23388;Кинооператор-корреспондент
5868;12747;Киоскер
5869;12757;Клавиатурщик
5870;12765;Классификаторщик дробленого камня
5871;12771;Классификаторщик порошков из алмазов и сверхтвердых материалов
5872;12773;Классификаторщик слюды
5873;12776;Клеевар
5874;12778;Клеильщик
5875;12784;Клейщик бумаги, картона и изделий из них
5876;12794;Клейщик резиновых, полимерных деталей и изделий
5877;12811;Ковровщик
5878;12817;Кокильщик-сборщик
5879;12830;Колорист
5880;23468;Комендант
5881;23483;Комендант лагеря
5882;23496;Коммивояжер
5883;12839;Комплектовщик авиционной техники
5884;12853;Комплектовщик изделий и инструмента
5885;12863;Комплектовщик мебели
5886;12865;Комплектовщик микромодулей
5887;12875;Комплектовщик пряжи, ткани и изделий
5888;12880;Комплектовщик сухих зоопрепаратов
5889;23507;Консул РФ
5890;23510;Консультант (в территориальном органе федерального органа исполнительной власти, федеральном суде)
5891;23521;Консультант в аппарате правительства РФ
5892;23533;Консультант государственной нотариальной конторы
5893;23551;Контролер билетов
5894;12934;Контролер-визитажник
5895;12955;Контролер изделий из слюды
5896;12958;Контролер изделий, полуфабрикатов и материалов
5897;12959;Контролер измерительных приборов и специального инструмента
5898;12961;Контролер кабельных изделий
5899;12965;Контролер-кассир
5900;12968;Контролер качества
5901;12978;Контролер котельных, холодноштамповочных и давильных работ
5902;12982;Контролер лесозаготовительного производства и лесосплава
5903;23554;Контролер ломбарда
5904;12997;Контролер мехового сырья и полуфабрикатов в сырейно-красильном производстве
5905;13001;Контролер музыкальных инструментов
5906;13003;Контролер наглядных пособий
5907;13026;Контролер по термообработке
5908;13024;Контролер полуфабрикатов и готовой продукции
5909;13034;Контролер-приемщик микроэлементов
5910;13047;Контролер радиоэлектронной аппаратуры и приборов
5911;23562;Контролер-ревизор
5912;13051;Контролер ремизобердочного производства
5913;13057;Контролер сварочных работ
5914;13068;Контролер струн и сшивок
5915;13070;Контролер судокорпусных, судомонтажных и трубопроводных работ
